DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
35300.00,0.01,-0.01,0.00,0.00,-0.01,-0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.02,-0.01,-0.01,0.01,0.01,0.00,0.01
35303.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
35304.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,-0.01,0.00
35305.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.01,0.00,-0.02,0.00,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
35306.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,-0.01,-0.01,-0.01,0.02,-0.01,0.00,0.00,0.00,0.01,0.01,0.00,-0.01,0.01
35307.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
35310.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35311.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00
35312.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,-0.01,0.01,0.00,0.00
35313.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,0.02,-0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00
35314.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
35317.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,-0.02,0.00,0.00,0.00,-0.01,-0.01,-0.02,-0.01,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,-0.01
35318.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,0.01,-0.01,0.00,0.02,0.00,0.01,-0.02,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00
